"","GEOID","sum"
"145",11980,11635.4771136194
"146",41260,4870.54233316309
"147",40420,53037.0294432342
"148",41660,22733.7408175208
"149",13660,4667.9331625218
"150",35500,7839.663740132
"151",23340,9492.62620893493
"152",28340,6773.85704104602
"153",35700,7245.52415849842
"154",12460,4911.85322611779
"155",18220,2980.94479595125
"156",36340,6330.33966780081
"157",26780,7687.89637708478
"158",27060,7245.88328374177
"159",45700,9448.19178032875
"160",26220,2485.2411383205
"161",27340,26250.2997170426
"162",49260,7974.75079515288
"163",32700,10381.9587096889
"164",21740,7855.77825509024
"165",36860,36022.0651553283
"166",29620,64765.7895430662
"167",38240,10025.5462056547
"168",28820,9644.89234484732
"169",17420,17964.0716012381
"170",30660,5774.9189888332
"171",30700,53320.2089118082
"172",43620,56868.7907354408
"173",38380,8512.52083733359
"174",29860,24710.0815053433
"175",20500,70291.605003655
"176",39140,23691.2174987842
"177",13020,12741.4572789986
"178",17020,15479.3075816824
"179",10140,11359.1187151215
"180",13060,12937.1327656215
"181",26260,11321.8777078092
"182",32780,24079.1517035395
"183",31260,14777.8843192663
"184",11700,40885.5497331098
"185",16660,10923.2444385737
"186",24220,39165.1839769632
"187",37100,69350.8562156443
"188",15660,8778.42354950309
"189",38060,615426.296462816
"190",32380,12992.6022333391
"191",18060,16119.6447153091
"192",41900,7057.21583386487
"193",44180,86694.0857324153
"194",48580,14018.6499430835
"195",45580,4659.48860033602
"196",37060,8784.26194569841
"197",44780,7599.37189977616
"198",43940,6144.54424847945
"199",26860,10855.2248259149
"200",43320,22460.6267938466
"201",26300,18303.5850784667
"202",27220,7218.95306787032
"203",34100,19956.1261546463
"204",48540,33430.7367170006
"205",34060,22034.8617892768
"206",14700,18586.7355255485
"207",33980,11244.405230674
"208",38100,8077.00533202291
"209",30300,10916.8137043358
"210",46500,5118.56912982464
"211",40080,18442.4373502359
"212",22500,40227.2106694654
"213",27940,4168.32757433694
"214",36140,12978.9028914422
"215",27300,8431.7995598875
"216",23580,24424.0418750644
"217",13420,11895.4529203282
"218",38660,21184.3282684162
"219",20580,10291.8224699916
"220",24380,9638.95882734934
"221",14380,4930.93660321832
"222",38460,12778.0180134087
"223",40540,28842.647333954
"224",45520,5690.38777676781
"225",17260,5886.35880102217
"226",23700,22767.3851057693
"227",40980,28055.4036906436
"228",19420,5312.85277365148
"229",46460,9831.38525650091
"230",47700,9619.66417003423
"231",28500,6506.14872625637
"232",45300,345994.628545649
"233",18880,42857.5069062989
"234",11640,9591.44500370324
"235",40660,15002.3679091781
"236",25540,87121.1414325796
"237",44540,6758.37379467297
"238",36780,25101.703848768
"239",34500,10716.1045688689
"240",39220,4871.93223393297
"241",38540,11889.6442585449
"242",41400,13083.4181335121
"243",15420,12679.413921235
"244",47020,26256.1722175479
"245",42540,62747.6731552137
"246",31500,5404.24482499063
"247",20140,12646.8571830783
