"","GEOID","sum"
"237",42820,10012.0045165377
"238",37540,5892.40090648085
"239",16220,21679.693696712
"240",47980,9246.38294113427
"241",21700,15031.4471643157
"242",36700,22951.9345676601
"243",32020,9606.99749001861
"244",21500,32051.4603924304
"245",40420,51921.7357810736
"246",22620,9387.42717986554
"247",24540,62538.4082294506
"248",35460,7323.0802508574
"249",10620,8932.94632795453
"250",42860,10253.3319318348
"251",37780,46043.8721310776
"252",42620,18887.5323935561
"253",21900,7188.58129958808
"254",22340,4167.1692019552
"255",17020,19382.0558082238
"256",23500,10434.7127430923
"257",19460,30802.0083483928
"258",47620,4889.67373308577
"259",43980,5210.91608887911
"260",47300,57153.0560008579
"261",39780,14558.2973772325
"262",19420,5022.75564916246
"263",20060,7795.37843045592
"264",48900,38807.3692294657
"265",48020,12741.3943176717
"266",39900,65159.769106038
"267",47700,11881.8442220837
"268",45520,8098.57939090393
"269",19700,7249.39372087659
"270",29380,10281.2114538252
"271",46020,6642.94118897244
"272",11500,22728.2191258222
"273",34820,79737.4242546484
"274",26460,6526.83127077669
"275",26020,66777.2248976761
"276",27460,15723.2831379138
"277",12140,11118.9706700891
"278",17700,8840.36002665944
"279",36780,27111.2634285912
"280",19620,14569.3543205851
"281",27420,13600.7772154063
"282",30140,17168.9467029274
"283",26940,7612.18632015958
"284",44900,3368.74097261205
"285",35580,7875.59088638425
"286",26340,8428.08763324469
"287",25720,3895.81180378017
"288",20100,28677.7168492377
"289",34540,7912.41791377217
"290",42660,379824.438254527
"291",20740,24367.7378296107
"292",40380,108966.727795552
"293",11460,42665.3512008637
"294",38820,9653.87389754217
"295",40700,19515.3877404788
"296",13940,9106.25721856975
"297",44260,10743.3031060547
"298",49620,53629.9677686691
"299",15380,123466.165542439
"300",22260,17721.5466510803
"301",22860,12285.3315949917
"302",23620,9582.37220582366
"303",30940,22672.0100446199
"304",34220,7598.84520623833
"305",32500,4652.21274381131
"306",13380,30434.6546773645
"307",10180,39561.2990262657
"308",41820,9504.26283092797
"309",37260,10875.015208351
"310",40940,8860.89289835694
"311",14620,5378.03334798804
"312",18900,9127.84852598049
"313",28620,9090.1119372075
"314",14220,9223.61608300358
"315",22780,12104.6186607555
"316",43220,6605.74787178343
"317",34580,21290.9748831046
"318",20300,8776.75395139679
"319",30260,6363.04415124655
"320",29540,54634.6903766394
"321",34340,10935.8004466519
"322",44660,21569.3476159871
"323",36500,24905.8899003157
"324",12100,45259.6905632019
"325",10500,33840.7423357847
"326",41540,60047.9497481369
"327",23060,84492.1640012041
"328",32860,8950.86144866049
"329",11820,5352.63457771271
"330",12900,10196.568825203
"331",32940,30317.5908322119
"332",36740,325033.207514166
"333",10860,11699.873811163
"334",29060,5947.77700649202
"335",22300,15616.6355306208
"336",29860,24164.1485285056
"337",16860,78964.4946555341
"338",11420,7217.89880003035
"339",11640,11202.5503871366
"340",21980,15195.9270529374
"341",25540,107239.438448161
"342",33460,425682.615452625
"343",17980,65389.8788554913
"344",13900,49292.6118842494
"345",33740,34965.3878733558
"346",18500,11764.7173533048
"347",13140,143488.870982554
"348",14540,30930.9674769714
"349",41140,30198.5947184786
"350",45300,322152.183604362
"351",36420,286587.423086904
"352",40660,15459.5531567857
"353",15340,6055.95446445048
"354",30980,51857.6262545399
"355",33340,210270.264373153
"356",11620,17930.3196058497
"357",30300,10250.4827448692
"358",12180,8147.14767167717
"359",49300,16091.1948775649
"360",39820,26180.6899353473
"361",38840,8838.17569877952
"362",35660,20936.2913396806
"363",27300,9229.43273386359
"364",44100,42261.4832585957
"365",13620,9024.75653272169
"366",15700,6235.03632731049
"367",45180,23903.6693114141
"368",35140,8025.01750200987
"369",45540,21472.0752155185
"370",38340,11722.1019973531
"371",45980,10922.0757247787
"372",31620,8491.55290635303
"373",24460,7165.36610242352
"374",15580,8574.88791325246
"375",38620,13598.663275307
"376",46820,3181.87370284647
"377",31220,3866.24527164362
"378",44980,8252.10442429781
"379",35100,23437.2652665609
"380",11940,9855.88240470737
"381",36540,199974.938390337
"382",32300,9604.89836336672
"383",32780,25338.1185644847
"384",19780,126089.191250123
"385",49380,7065.86234420538
"386",31260,15877.0227593216
"387",11700,40004.6047129612
"388",16620,41469.6105103586
"389",32820,286760.391520403
"390",20820,12056.6847707257
"391",24060,12848.8559892735
"392",49740,42133.0555261291
"393",20180,10468.9468782819
"394",18420,8374.11925762892
"395",48820,10905.6723191813
"396",24900,11692.9578692503
"397",11680,7923.29963576578
"398",33500,41589.9809453525
"399",17640,2856.48663073778
"400",26300,16999.5537060937
"401",27220,5564.79721367848
"402",44860,6842.61660538614
"403",33940,4968.17555275233
"404",11260,0
"405",22020,69156.9917231351
"406",39700,5523.76169390065
"407",38940,54104.5339004254
"408",30340,11070.4008037709
"409",17780,58584.1079347655
"410",19060,12945.5159085225
"411",17500,7532.73238702421
"412",28900,19014.7756625149
